State,County,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
TX,Anderson County,13.8,19.2,5.1,10.9,79.0,2875,11848,-1.8,916,0.7,0.8,21.7,17.0,0.1,1.5,75.2,59.9,70.4,16378,20137,82000,2.86,8.3,40653,18495,20.3,2,6.4,1062.6,13.1,80.2,0,22.0,39.0,4592,58458,57627,-1.4,55.0,485,3653,4954,8731,0.0,2.6,0.0,0.0,0.0,3358,0.0
TX,Andrews County,9.9,30.6,9.3,14.2,73.6,1149,5388,2.6,408,1.5,0.9,2.2,54.6,0.0,1.4,93.9,41.6,78.1,5217,6041,88600,2.97,5.3,57825,27429,12.5,155,14.4,1500.71,40.5,85.2,0,23.2,48.9,972,14786,17477,18.2,9.9,149,0,983,7480,0.0,0.0,0.0,14.7,0.0,1214,29.3
TX,Angelina County,15.0,26.1,7.0,15.0,78.2,5041,30445,1.1,1869,0.8,1.1,15.7,21.2,0.1,1.2,81.2,61.5,66.7,30668,36202,84800,2.73,11.4,41354,20982,19.3,76,7.9,797.78,17.4,81.2,12914,19.0,51.1,6425,86771,87750,1.1,108.8,1125,0,11740,14216,0.0,0.0,0.0,0.0,0.0,6240,23.8
TX,Aransas County,26.6,18.6,4.6,21.7,86.0,2471,4091,5.8,507,1.2,2.1,2.0,26.7,0.1,1.9,92.8,67.9,73.3,9834,15677,130900,2.36,11.3,42476,26953,19.6,169,5.8,252.07,16.6,80.2,0,22.3,50.5,2853,23158,24972,7.8,91.9,488,135,2415,9929,0.0,0.0,0.0,0.0,0.0,2745,0.0
TX,Archer County,18.1,21.7,3.5,20.0,86.5,868,1642,7.3,197,1.2,0.3,1.1,8.2,0.1,1.6,95.7,88.5,80.6,3342,4130,100300,2.62,3.5,56452,27800,11.3,9,3.8,903.11,7.2,93.8,0,20.7,49.9,863,9054,8811,-2.7,10.0,14,434,393,4425,0.0,0.0,0.0,0.0,0.0,1012,0.0
TX,Armstrong County,21.4,23.4,6.1,24.7,88.8,157,223,-4.3,34,1.2,0.2,1.7,8.4,0.0,1.3,95.7,87.8,78.4,647,901,94100,2.63,0.3,61635,26823,11.1,0,3.9,909.11,8.5,90.4,0,25.8,50.7,187,1901,1955,2.8,2.1,6,0,23,1147,0.0,0.0,0.0,0.0,0.0,180,0.0
TX,Atascosa County,13.9,27.9,7.3,14.1,73.6,3149,10392,15.4,713,1.2,0.6,1.4,62.6,0.1,1.2,95.6,35.1,74.3,15095,17843,82900,3.0,5.4,47543,20193,16.4,69,6.5,1219.54,40.1,87.9,0,30.2,50.3,3302,44911,47774,6.4,36.8,321,694,3628,8324,1.3,0.0,0.0,36.3,0.0,3733,0.0
TX,Austin County,17.6,24.2,6.2,18.6,85.1,2573,8114,-3.2,604,0.8,0.6,9.6,25.9,0.0,1.5,87.5,63.3,76.1,10615,13002,150000,2.67,7.1,53265,25884,10.1,27,9.8,646.51,19.7,87.2,0,28.1,50.4,1877,28417,29114,2.5,44.0,249,0,2341,8785,0.0,0.0,0.0,0.0,0.0,2683,24.0
TX,Bailey County,15.0,30.3,9.4,11.1,65.4,357,1530,4.3,145,2.7,0.7,1.7,61.1,0.2,1.0,93.7,36.5,65.2,2358,2783,56500,2.98,7.3,46139,18676,13.0,0,22.4,826.8,49.1,80.1,0,19.3,49.3,425,7165,6910,-3.6,8.7,70,699,417,6642,0.0,0.0,0.0,0.0,0.0,591,0.0
TX,Bandera County,24.6,17.4,4.1,21.9,86.6,2132,2942,4.6,365,1.1,0.5,0.9,17.9,0.0,1.4,96.0,79.1,80.3,8405,11599,143600,2.4,0.8,49215,25364,15.3,1,3.7,790.96,10.8,89.8,0,38.9,50.5,3116,20485,20892,2.0,25.9,232,13,765,3766,0.0,0.0,0.0,0.0,0.0,2093,0.0
TX,Bastrop County,13.7,25.5,6.1,16.3,80.4,5561,12107,2.3,1135,1.7,1.0,8.0,35.0,0.1,2.0,87.1,55.0,78.2,25432,29592,117700,2.85,4.9,51750,23342,16.5,167,11.2,888.15,26.6,87.2,2386,34.2,49.1,6672,74171,78069,5.3,83.5,1151,516,6846,9485,0.0,0.0,0.0,13.2,0.0,5912,23.6
TX,Baylor County,25.1,21.3,5.8,24.1,83.7,250,909,-5.9,112,0.7,0.2,3.1,12.4,0.1,1.8,94.2,82.9,73.0,1798,2653,72800,2.01,7.6,33445,28021,15.4,0,2.4,867.48,6.3,84.1,0,13.5,51.9,265,3726,3592,-3.6,4.3,31,338,271,7026,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Bee County,11.4,21.3,5.9,8.2,70.8,1524,5505,3.4,474,0.8,0.7,8.6,57.8,0.1,1.2,88.6,32.7,65.4,8539,10656,73000,2.86,13.7,43690,16848,22.2,11,4.8,880.24,36.5,77.3,0,25.2,40.0,2453,31861,32863,3.1,36.2,255,0,2471,7619,0.0,0.0,2.1,0.0,0.0,1972,0.0
TX,Bell County,9.9,27.7,8.7,21.7,89.5,15232,85507,2.8,4876,1.1,3.3,22.7,23.5,0.8,4.4,67.7,48.2,56.7,104049,133786,122600,2.95,25.9,50060,22857,15.3,1989,7.7,1051.02,17.4,76.9,19249,18.9,50.0,43424,310235,329140,6.1,295.2,4014,42027,33499,12035,1.0,0.0,9.1,8.7,0.0,16333,0.0
TX,Bexar County,11.3,26.2,7.2,26.3,82.6,120595,676165,2.6,33910,1.2,2.9,8.3,59.3,0.2,2.2,85.2,29.2,59.7,604698,678122,123700,2.84,27.3,50112,24253,17.6,6959,13.1,1239.82,42.0,80.9,123050,24.1,50.8,151376,1714773,1855866,8.2,1383.1,38290,122320,228152,14359,0.0,3.5,3.8,37.3,0.0,132839,28.4
TX,Blanco County,22.4,19.2,4.0,26.8,87.0,1239,1793,3.9,260,1.4,0.5,1.1,18.8,0.1,1.3,95.6,78.2,79.2,4036,5678,162500,2.58,4.0,49487,26781,9.3,35,8.5,709.25,15.8,89.7,0,27.3,49.6,1271,10497,10812,3.1,14.8,94,0,505,5627,0.0,0.0,0.0,0.0,0.0,1604,0.0
TX,Borden County,20.6,21.6,5.4,32.1,92.1,57,0,0.0,6,0.9,0.2,0.6,16.9,0.0,2.6,95.7,80.8,66.7,225,385,100000,2.88,1.7,71607,50042,0.9,0,1.1,897.44,5.7,86.7,0,24.7,46.5,50,641,652,1.7,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Bosque County,23.9,21.8,5.4,15.4,82.0,1401,2525,-1.0,298,0.9,0.6,2.0,17.1,0.0,1.6,95.0,79.0,76.9,7012,9633,90800,2.51,3.8,44742,23992,14.7,3,6.2,982.98,13.5,85.4,0,29.0,50.5,1892,18212,17780,-2.4,18.5,53,283,1065,5989,0.0,0.0,0.0,0.0,0.0,1746,0.0
TX,Bowie County,15.5,23.8,6.5,19.0,86.8,4969,31596,1.8,2192,1.0,1.1,24.7,7.3,0.1,2.2,71.0,64.8,66.8,33808,39137,95100,2.6,14.4,42346,22911,19.7,95,3.3,885.01,6.3,85.3,17291,17.1,49.5,8160,92565,93275,0.8,104.6,1665,0,15353,16768,0.0,0.0,10.9,0.0,0.0,6735,27.1
TX,Brazoria County,10.9,26.8,7.1,27.5,85.3,22189,80192,5.6,5122,0.8,6.3,13.5,29.2,0.1,1.8,77.5,49.9,73.9,107717,126268,148000,2.86,15.8,67603,29081,11.2,3476,12.5,1357.7,25.8,87.1,310480,28.8,49.3,20900,313166,338124,8.0,230.7,3134,8419,29587,10094,0.0,5.7,9.2,14.4,0.0,23071,28.2
TX,Brazos County,8.3,20.5,6.2,38.8,85.0,11844,57295,4.0,3991,0.7,5.6,11.4,24.8,0.1,1.8,80.4,57.2,46.0,70239,83500,151400,2.61,38.6,38310,21720,29.8,1786,13.0,585.45,23.1,68.0,9794,18.0,49.3,8937,194851,209152,7.3,332.8,3402,7796,21191,12425,0.9,0.0,5.8,9.7,0.0,13887,0.0
TX,Brewster County,19.4,19.6,6.3,36.1,84.8,939,2436,-9.8,270,1.7,1.2,1.4,43.1,0.1,1.9,93.6,53.0,60.7,4152,5429,111000,2.18,10.2,40477,27796,12.4,11,5.5,6183.73,39.0,77.1,0,12.5,50.1,696,9232,9173,-0.6,1.5,254,203,868,9461,0.0,0.0,0.0,0.0,0.0,1354,25.2
TX,Briscoe County,23.9,21.8,5.5,17.8,75.8,137,129,-4.4,39,0.6,0.1,2.9,27.7,0.0,1.9,94.5,67.8,78.8,605,953,51600,2.67,3.8,36250,20697,18.6,0,10.5,900.0,19.6,93.3,0,18.9,50.5,93,1637,1536,-6.2,1.8,3,53,66,4458,0.0,0.0,0.0,0.0,0.0,198,0.0
TX,Brooks County,18.2,28.1,9.2,10.8,63.2,534,1571,-1.5,131,0.7,1.4,1.1,89.6,0.0,0.5,96.4,8.3,69.3,2439,3232,47300,2.89,8.5,21865,14345,38.3,0,6.2,943.36,65.9,82.1,0,17.9,50.4,415,7223,7194,-0.4,7.7,142,0,815,10914,0.0,0.0,0.0,0.0,0.0,525,0.0
TX,Brown County,19.3,22.9,5.6,16.0,85.1,2464,12964,0.1,925,0.8,0.6,3.8,20.9,0.1,1.7,93.1,73.2,71.3,13405,18468,87600,2.68,11.4,39776,21236,18.4,31,4.1,944.43,8.4,89.9,12494,18.2,50.4,3439,38106,37653,-1.2,40.3,498,1709,5124,13406,0.0,0.0,0.0,0.0,0.0,3313,22.3
TX,Burleson County,19.2,22.7,5.9,11.6,77.7,1317,3199,12.1,328,1.1,0.3,13.1,20.1,0.0,1.5,84.0,65.4,79.1,6258,8904,87800,2.71,3.4,45651,21529,15.0,8,6.4,659.03,14.8,88.9,0,28.3,50.3,1310,17187,17253,0.4,26.1,128,0,1838,11101,0.0,0.0,0.0,0.0,0.0,1320,29.6
TX,Burnet County,21.1,21.6,5.3,21.9,84.2,4662,10414,4.8,1107,1.1,0.6,2.4,21.9,0.1,1.4,94.4,73.8,73.2,16588,21495,152600,2.57,9.2,48115,24998,16.3,261,6.5,994.26,14.4,85.6,0,27.3,51.1,4296,42750,44943,5.2,43.0,744,818,6395,14609,0.0,0.0,0.0,0.0,0.0,5725,22.6
TX,Caldwell County,13.3,24.2,5.7,15.7,79.0,2489,6080,5.8,549,1.5,1.0,7.0,49.8,0.1,1.5,88.9,42.0,66.6,11593,13834,104000,3.02,12.6,44152,19673,18.7,98,5.4,545.26,29.3,81.5,897,31.4,49.6,2646,38066,39810,4.6,69.8,281,264,2982,8143,0.0,0.0,0.0,18.7,0.0,3111,21.9
TX,Calhoun County,16.0,25.2,6.6,15.7,77.5,1420,8029,3.2,430,0.8,4.8,3.1,47.9,0.1,1.1,90.1,43.8,71.0,7870,11737,98100,2.7,8.4,47027,23381,17.6,81,9.1,506.84,27.8,83.6,0,21.6,49.0,1706,21381,21797,1.9,42.2,210,0,3222,15877,0.0,0.0,0.0,0.0,0.0,1710,26.0
TX,Callahan County,20.1,22.2,5.4,14.7,86.1,1166,1414,4.7,207,0.8,0.6,1.5,9.4,0.1,1.7,95.3,86.7,82.1,5201,6586,74300,2.58,2.0,44902,22855,15.2,5,2.2,899.37,5.5,90.3,0,22.5,50.7,1359,13544,13513,-0.2,15.1,76,204,1189,8937,0.0,0.0,0.0,0.0,0.0,1606,0.0
TX,Cameron County,12.4,31.6,8.7,15.4,63.7,29992,99190,-3.4,6306,0.6,0.8,0.9,88.7,0.1,0.5,97.2,9.9,67.2,117836,146182,78300,3.46,21.7,33179,14710,34.8,1417,24.6,890.92,73.1,89.2,0,20.0,51.7,16018,406220,420392,3.5,456.0,5030,15166,39117,10221,0.0,1.7,1.1,61.9,0.0,30137,28.5
TX,Camp County,17.3,26.1,6.7,15.2,76.2,784,2201,-12.9,215,1.1,0.9,16.9,23.4,0.2,2.3,78.7,57.3,67.0,4475,5671,103100,2.74,7.3,37079,19176,21.8,10,12.5,195.83,21.2,87.6,0,20.3,51.6,997,12401,12621,1.8,63.3,74,335,968,7738,0.0,0.0,0.0,9.3,0.0,1093,0.0
TX,Carson County,17.1,25.2,5.6,21.5,87.6,406,679,0.1,116,1.4,0.5,0.9,10.0,0.1,1.7,95.5,86.0,89.3,2337,2771,87700,2.6,1.7,65026,26827,7.2,3,2.6,920.22,8.0,87.2,0,19.8,50.3,472,6182,6013,-2.7,6.7,18,0,497,7952,0.0,0.0,0.0,0.0,0.0,357,24.6
TX,Cass County,21.2,22.5,5.9,13.0,84.3,1741,5225,-4.8,502,0.7,0.4,17.1,4.3,0.0,1.6,80.2,76.5,71.7,11836,14407,77400,2.52,8.3,35598,20104,20.9,11,1.7,936.96,3.4,87.8,6447,27.0,51.6,2980,30464,30261,-0.7,32.5,175,1550,2168,7388,0.0,0.0,0.0,0.0,0.0,2168,26.8
TX,Castro County,14.0,30.4,9.0,12.8,68.2,431,1088,3.8,177,1.6,0.5,2.6,62.7,0.0,1.0,94.2,34.1,68.7,2588,3184,68500,3.07,6.0,36402,19708,24.1,0,19.6,894.43,47.8,87.9,0,15.4,49.0,408,8062,7781,-3.5,9.0,23,1545,400,5579,0.0,0.0,0.0,8.1,0.0,534,0.0
TX,Chambers County,10.8,27.7,6.7,18.0,85.0,2499,10370,7.1,544,1.1,1.3,9.0,21.3,0.1,1.3,87.3,67.8,82.9,12147,14418,144900,2.9,4.1,72489,30140,9.7,377,8.5,597.14,17.8,86.9,0,31.5,49.7,2277,35096,38145,8.7,58.8,314,1372,2749,9540,0.0,0.0,0.0,0.0,0.0,2899,24.4
TX,Cherokee County,16.1,25.6,6.9,15.1,76.7,3077,11106,-0.7,777,1.6,0.6,15.0,22.0,0.0,1.9,80.9,61.4,71.8,17422,20977,76300,2.76,5.9,38378,18801,24.5,6,10.1,1052.91,17.5,86.7,5525,23.8,48.9,3552,50845,50902,0.1,48.3,364,0,3631,7547,0.0,0.0,0.0,0.0,0.0,3609,21.7
TX,Childress County,15.3,20.9,5.5,18.6,88.4,339,1512,1.7,160,0.7,0.8,10.1,29.5,0.0,1.4,87.0,58.5,72.8,2374,2865,62700,2.36,11.3,47532,20248,15.9,0,4.2,696.41,15.3,79.9,0,12.6,41.0,509,7041,7089,0.7,10.1,116,313,754,10014,0.0,0.0,0.0,0.0,0.0,442,0.0
TX,Clay County,20.3,21.6,4.9,18.2,88.5,773,862,-5.2,124,1.5,0.3,0.9,5.4,0.0,1.9,95.5,90.9,85.2,4216,5149,81600,2.51,2.3,53776,25867,10.3,5,1.6,1088.72,3.9,89.8,0,25.1,49.8,849,10752,10370,-3.6,9.9,25,54,776,6984,0.0,0.0,0.0,0.0,0.0,535,0.0
TX,Cochran County,14.9,28.3,7.8,12.4,66.1,176,297,-0.3,52,2.5,0.3,5.1,57.0,0.2,1.0,90.8,37.3,79.4,1039,1357,35500,2.85,4.9,38650,17371,15.1,1,15.0,775.15,43.9,86.7,0,16.7,50.5,141,3127,2935,-6.1,4.0,2,119,268,8706,0.0,0.0,0.0,0.0,0.0,0,0.0
